date,Horst Seehofer,Angela Merkel,isPartial
2013-06-02,1,11,False
2013-06-09,0,8,False
2013-06-16,1,13,False
2013-06-23,0,9,False
2013-06-30,0,9,False
2013-07-07,0,6,False
2013-07-14,0,9,False
2013-07-21,0,7,False
2013-07-28,0,4,False
2013-08-04,1,7,False
2013-08-11,1,14,False
2013-08-18,1,13,False
2013-08-25,2,16,False
2013-09-01,4,36,False
2013-09-08,1,18,False
2013-09-15,8,40,False
2013-09-22,2,100,False
2013-09-29,1,15,False
2013-10-06,2,10,False
2013-10-13,2,8,False
2013-10-20,0,21,False
2013-10-27,0,19,False
2013-11-03,1,12,False
2013-11-10,1,9,False
2013-11-17,1,8,False
2013-11-24,2,9,False
2013-12-01,0,8,False
2013-12-08,1,10,False
2013-12-15,1,19,False
2013-12-22,1,8,False
2013-12-29,1,10,False
2014-01-05,1,46,False
2014-01-12,1,9,False
2014-01-19,1,12,False
2014-01-26,1,10,False
2014-02-02,0,9,False
2014-02-09,1,7,False
2014-02-16,1,7,False
2014-02-23,0,22,False
2014-03-02,1,15,False
2014-03-09,1,11,False
2014-03-16,2,13,False
2014-03-23,0,9,False
2014-03-30,0,8,False
2014-04-06,0,13,False
2014-04-13,0,8,False
2014-04-20,0,7,False
2014-04-27,1,9,False
2014-05-04,1,13,False
2014-05-11,0,9,False
2014-05-18,1,11,False
2014-05-25,0,14,False
2014-06-01,1,14,False
2014-06-08,0,8,False
2014-06-15,0,22,False
2014-06-22,0,9,False
2014-06-29,0,9,False
2014-07-06,0,25,False
2014-07-13,1,83,False
2014-07-20,0,12,False
2014-07-27,1,8,False
2014-08-03,0,9,False
2014-08-10,0,5,False
2014-08-17,0,10,False
2014-08-24,0,12,False
2014-08-31,0,10,False
2014-09-07,1,8,False
2014-09-14,0,7,False
2014-09-21,1,8,False
2014-09-28,0,7,False
2014-10-05,0,6,False
2014-10-12,0,7,False
2014-10-19,0,9,False
2014-10-26,0,7,False
2014-11-02,0,12,False
2014-11-09,0,19,False
2014-11-16,1,13,False
2014-11-23,0,12,False
2014-11-30,1,9,False
2014-12-07,2,15,False
2014-12-14,1,8,False
2014-12-21,0,8,False
2014-12-28,0,11,False
2015-01-04,1,11,False
2015-01-11,1,22,False
2015-01-18,0,11,False
2015-01-25,0,12,False
2015-02-01,1,22,False
2015-02-08,0,26,False
2015-02-15,0,13,False
2015-02-22,2,10,False
2015-03-01,0,10,False
2015-03-08,0,9,False
2015-03-15,1,10,False
2015-03-22,0,16,False
2015-03-29,1,8,False
2015-04-05,0,10,False
2015-04-12,0,10,False
2015-04-19,0,9,False
2015-04-26,0,10,False
2015-05-03,0,9,False
2015-05-10,0,8,False
2015-05-17,0,6,False
2015-05-24,1,14,False
2015-05-31,0,11,False
2015-06-07,1,18,False
2015-06-14,0,8,False
2015-06-21,0,22,False
2015-06-28,0,17,False
2015-07-05,0,29,False
2015-07-12,1,47,False
2015-07-19,1,18,False
2015-07-26,1,15,False
2015-08-02,1,10,False
2015-08-09,0,8,False
2015-08-16,0,14,False
2015-08-23,1,14,False
2015-08-30,1,18,False
2015-09-06,1,25,False
2015-09-13,2,25,False
2015-09-20,2,23,False
2015-09-27,2,19,False
2015-10-04,4,31,False
2015-10-11,3,16,False
2015-10-18,1,17,False
2015-10-25,3,15,False
2015-11-01,2,17,False
2015-11-08,2,24,False
2015-11-15,3,28,False
2015-11-22,1,21,False
2015-11-29,1,14,False
2015-12-06,1,45,False
2015-12-13,1,25,False
2015-12-20,0,14,False
2015-12-27,1,15,False
2016-01-03,2,20,False
2016-01-10,1,20,False
2016-01-17,3,19,False
2016-01-24,2,18,False
2016-01-31,2,12,False
2016-02-07,2,15,False
2016-02-14,1,14,False
2016-02-21,3,11,False
2016-02-28,2,15,False
2016-03-06,1,22,False
2016-03-13,2,21,False
2016-03-20,1,13,False
2016-03-27,1,11,False
2016-04-03,0,10,False
2016-04-10,1,11,False
2016-04-17,0,12,False
2016-04-24,0,12,False
2016-05-01,0,11,False
2016-05-08,1,9,False
2016-05-15,1,11,False
2016-05-22,0,8,False
2016-05-29,1,15,False
2016-06-05,1,10,False
2016-06-12,1,8,False
2016-06-19,1,21,False
2016-06-26,0,23,False
2016-07-03,0,10,False
2016-07-10,0,15,False
2016-07-17,1,23,False
2016-07-24,1,24,False
2016-07-31,1,12,False
2016-08-07,0,8,False
2016-08-14,0,12,False
2016-08-21,0,13,False
2016-08-28,1,14,False
2016-09-04,3,19,False
2016-09-11,2,9,False
2016-09-18,1,16,False
2016-09-25,1,11,False
2016-10-02,0,11,False
2016-10-09,1,8,False
2016-10-16,1,9,False
2016-10-23,1,10,False
2016-10-30,1,8,False
2016-11-06,1,32,False
2016-11-13,1,26,False
2016-11-20,1,42,False
2016-11-27,1,13,False
2016-12-04,1,25,False
2016-12-11,1,18,False
2016-12-18,1,31,False
2016-12-25,1,13,False
2017-01-01,1,9,False
2017-01-08,1,9,False
2017-01-15,1,15,False
2017-01-22,1,13,False
2017-01-29,1,23,False
2017-02-05,1,19,False
2017-02-12,1,18,False
2017-02-19,1,12,False
2017-02-26,1,10,False
2017-03-05,2,13,False
2017-03-12,1,76,False
2017-03-19,0,49,False
2017-03-26,0,20,False
2017-04-02,1,11,False
2017-04-09,0,11,False
2017-04-16,1,9,False
2017-04-23,5,14,False
2017-04-30,0,14,False
2017-05-07,0,16,False
2017-05-14,1,24,False
2017-05-21,1,17,False
2017-05-28,1,37,False
2017-06-04,0,19,False
2017-06-11,0,17,False
2017-06-18,0,10,False
2017-06-25,1,20,False
2017-07-02,1,28,False
2017-07-09,0,22,False
2017-07-16,0,16,False
2017-07-23,1,10,False
2017-07-30,1,9,False
2017-08-06,1,11,False
2017-08-13,0,19,False
2017-08-20,2,18,False
2017-08-27,1,17,False
2017-09-03,1,35,False
2017-09-10,1,28,False
2017-09-17,1,51,False
2017-09-24,9,100,False
2017-10-01,2,19,False
2017-10-08,2,11,False
2017-10-15,2,12,False
2017-10-22,1,9,False
2017-10-29,2,10,False
2017-11-05,3,10,False
2017-11-12,1,12,False
2017-11-19,6,30,False
2017-11-26,1,17,False
2017-12-03,6,11,False
2017-12-10,1,11,False
2017-12-17,1,9,False
2017-12-24,0,11,False
2017-12-31,1,12,False
2018-01-07,1,16,False
2018-01-14,1,11,False
2018-01-21,1,11,False
2018-01-28,1,9,False
2018-02-04,5,14,False
2018-02-11,2,14,False
2018-02-18,1,11,False
2018-02-25,4,15,False
2018-03-04,3,14,False
2018-03-11,13,23,False
2018-03-18,5,13,False
2018-03-25,2,8,False
2018-04-01,2,8,False
2018-04-08,2,9,False
2018-04-15,2,8,False
2018-04-22,1,15,False
2018-04-29,1,8,False
2018-05-06,1,8,False
2018-05-13,1,10,False
2018-05-20,1,9,False
2018-05-27,2,9,True
